City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,daru,-9.0763,143.2092,25.18,93,100,7.35,PG,1715234229
129,port isabel,26.0734,-97.2086,29.02,88,100,5.14,US,1715234230
130,constantia,44.1833,28.65,12.61,77,91,8.01,RO,1715234231
131,kingston,17.997,-76.7936,28.53,79,20,2.57,JM,1715234231
132,luderitz,-26.6481,15.1594,15.16,76,0,5.98,NA,1715234232
133,onguday,50.75,86.15,19.76,35,63,1.3,RU,1715234233
134,fale old settlement,-9.3852,-171.2468,29.28,72,68,1.84,TK,1715234233
135,sarupathar,26.1984,93.8094,30.12,36,47,4.51,IN,1715234234
136,pacific grove,36.6177,-121.9166,16.25,73,0,1.79,US,1715234139
137,lazaro cardenas,17.9583,-102.2,23.24,84,37,0.98,MX,1715234077
138,fengkou,30.0833,113.2667,28.96,38,81,3.28,CN,1715234236
139,mammoth lakes,37.6485,-118.9721,1.4,44,0,5.66,US,1715234236
140,rancho palos verdes,33.7445,-118.387,16.56,89,0,0.89,US,1715234237
141,forster,-32.1667,152.5167,20.77,75,76,4.03,AU,1715234237
142,kobayashi,31.9833,130.9833,22.43,33,0,0.82,JP,1715234238
143,puli,23.9664,120.9695,31.23,68,97,2.31,TW,1715234239
144,amga,60.8953,131.9608,7.11,42,100,4.85,RU,1715234239
145,aripuana,-9.1667,-60.6333,24.86,85,58,0.47,BR,1715234240
146,tazovsky,67.4667,78.7,-6.36,86,28,3.02,RU,1715234241
147,bethel,41.3712,-73.414,17.03,79,0,1.54,US,1715234242
148,crolles,45.282,5.8782,13.62,86,7,0.84,FR,1715234242
149,dongola,19.1667,30.4833,29.09,6,40,4.89,SD,1715234243
150,puerto ayora,-0.7393,-90.3518,23.64,97,100,2.24,EC,1715234243
151,thunder bay,48.4001,-89.3168,7.99,61,0,3.09,CA,1715234244
152,la'ie,21.6477,-157.9253,25.98,80,25,0.89,US,1715234245
153,happy valley-goose bay,53.3168,-60.3315,1.17,64,100,5.66,CA,1715234245
154,egilsstadir,65.2653,-14.3948,0.95,75,0,1.03,IS,1715234246
155,igatpuri,19.7,73.55,32.33,38,9,3.21,IN,1715234247
156,wuchuan,21.4571,110.7659,28.56,63,82,7.71,CN,1715234247
157,palikir - national government center,6.9248,158.1611,30.47,79,100,6.69,FM,1715234248
